id,title,company,location,link,date_posted
1,Data Analyst,Meta,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186238974,4/14/2025
2,Data Analyst,Meta,San Francisco,https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186241553,4/14/2025
3,Data Analyst,Meta,Los Angeles,https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186236994,4/14/2025
4,Data Analyst,Meta,"Washington, D.C.",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186237989,4/14/2025
5,Data Analyst II,Pinterest,Chicago,https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193349988,4/16/2025
6,Data Analyst,FanDuel,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-fanduel-4206047782,4/11/2025
7,"Data Analyst, Production Finance Operations & Innovation",Netflix,Los Angeles,https://www.linkedin.com/jobs/view/data-analyst-production-finance-operations-innovation-at-netflix-4205626465,4/10/2025
8,Data Analyst - Marketing,FanDuel,New York City,https://www.linkedin.com/jobs/view/data-analyst-marketing-at-fanduel-4138322262,4/13/2025
9,Data Analyst,SBH Fashion,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-sbh-fashion-4168179268,4/12/2025
14,Data Analyst II,Pinterest,New York City,https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193356222,4/16/2025
15,Data Analyst II,Pinterest,San Francisco,https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193351793,4/16/2025
16,"Data Analyst, Global Partnerships & Content",Meta,New York City,https://www.linkedin.com/jobs/view/data-analyst-global-partnerships-content-at-meta-4187153427,4/14/2025
29,Data Analyst,FanDuel,Atlanta,https://www.linkedin.com/jobs/view/data-analyst-at-fanduel-4206048749,4/11/2025
30,Data Analyst,FinThrive,United States,https://www.linkedin.com/jobs/view/data-analyst-at-finthrive-4208994892,4/15/2025
31,Senior Data Analyst,alice + olivia,New York City,https://www.linkedin.com/jobs/view/senior-data-analyst-at-alice-%2B-olivia-4190163049,4/15/2025
32,"Data Products Analyst, YouTube",Google,New York City,https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4209686717,4/14/2025
34,Customer Relationship Management Analyst,Bvlgari,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/customer-relationship-management-analyst-at-bvlgari-4184835114,4/11/2025
35,"Data Analyst - SQL, ERP",CyberCoders,"Yakima, Washington",https://www.linkedin.com/jobs/view/data-analyst-sql-erp-at-cybercoders-4172595144,4/15/2025
54,Marketing Data Analyst,TechHuman,United States,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-techhuman-4206084851,4/11/2025
55,Data Analyst,Hamilton Porter,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-hamilton-porter-4209790671,4/16/2025
56,Analytics Associate,Brooklinen,Brooklyn,https://www.linkedin.com/jobs/view/analytics-associate-at-brooklinen-4189094109,4/10/2025
57,Data Analyst I,Equip,United States,https://www.linkedin.com/jobs/view/data-analyst-i-at-equip-4172874483,4/16/2025
58,Data Analyst,Toyota North America,"Plano, Texas",https://www.linkedin.com/jobs/view/data-analyst-at-toyota-north-america-4210659515,4/15/2025
59,"Data & Analytics, Analyst",TikTok,Los Angeles,https://www.linkedin.com/jobs/view/data-analytics-analyst-at-tiktok-4210110419,4/16/2025
60,Junior Data Analyst - Remote,Lensa,United States,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-lensa-4210127724,4/16/2025
61,"Data Products Analyst, YouTube",Google,Los Angeles,https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4209686721,4/14/2025
62,"Data Products Analyst, YouTube",Google,"Mountain View, California",https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4209686719,4/14/2025
63,"Data Products Analyst, YouTube",Google,"San Bruno, California",https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4209686718,4/14/2025
64,Data Analyst,Sony,"Culver City, California",https://www.linkedin.com/jobs/view/data-analyst-at-sony-4208337899,4/17/2025
65,People Data Analyst,CAVA,"Washington, D.C.",https://www.linkedin.com/jobs/view/people-data-analyst-at-cava-4211477818,4/16/2025
66,Customer Insights Analyst,Nextdoor,New York City,https://www.linkedin.com/jobs/view/customer-insights-analyst-at-nextdoor-4194555805,4/15/2025
67,Data Analyst,Salt,United States,https://www.linkedin.com/jobs/view/data-analyst-at-salt-4207613081,4/15/2025
68,Data Analyst,InterEx Group,United States,https://www.linkedin.com/jobs/view/data-analyst-at-interex-group-4207982241,4/14/2025
69,Data Analyst I,Colibri Group,United States,https://www.linkedin.com/jobs/view/data-analyst-i-at-colibri-group-4207003840,4/11/2025
70,Data Analyst Intern (Fall start),AARP,"Washington, D.C.",https://www.linkedin.com/jobs/view/data-analyst-intern-fall-start-at-aarp-4179907608,4/10/2025
71,"Analyst, Data Science, RMBS",Cerberus Capital Management,New York City,https://www.linkedin.com/jobs/view/analyst-data-science-rmbs-at-cerberus-capital-management-4206657067,4/10/2025
72,Data Analyst,Webologix Ltd/ INC,United States,https://www.linkedin.com/jobs/view/data-analyst-at-webologix-ltd-inc-4189678767,4/10/2025
73,Data Analyst,iSpot,United States,https://www.linkedin.com/jobs/view/data-analyst-at-ispot-4188916579,4/10/2025
74,Analyst,NielsenIQ,New York City,https://www.linkedin.com/jobs/view/analyst-at-nielseniq-4209629313,4/14/2025
75,Data Analyst,RYZE,United States,https://www.linkedin.com/jobs/view/data-analyst-at-ryze-4210126481,4/16/2025
